 Date;Hmaks / Hmax;Hm0 / Hm0;Hœr / Hmean;Tp / Tp;Tsr / Tmean;Dirp / Dirp;Okres
2018-01-01 00:00;0.68;0.41;0.24;4.01;2.87;274.29;I kw. 
2018-01-01 01:00;0.6;0.44;0.26;4.38;3.28;283.54;I kw. 
2018-01-01 02:00;0.71;0.43;0.26;4.26;3.22;279.1;I kw. 
2018-01-01 03:00;0.6;0.42;0.25;4.19;3.16;278.18;I kw. 
2018-01-01 04:00;0.65;0.44;0.25;4.78;2.93;285.12;I kw. 
2018-01-01 05:00;0.73;0.48;0.28;4.66;3.07;288.18;I kw. 
2018-01-01 06:00;0.78;0.54;0.31;5.55;3.07;286.57;I kw. 
2018-01-01 07:00;0.88;0.6;0.34;5.22;3.04;282.82;I kw. 
2018-01-01 08:00;1.01;0.68;0.41;3.24;3.26;268.75;I kw. 
2018-01-01 09:00;1.44;1.01;0.61;4.73;3.71;276.43;I kw. 
2018-01-01 10:00;1.61;1.13;0.69;5.25;4.08;282.22;I kw. 
2018-01-01 11:00;1.38;1;0.58;5.49;3.84;280.55;I kw. 
2018-01-01 12:00;1.7;0.95;0.56;5.58;4.01;285.18;I kw. 
2018-01-01 13:00;1.59;0.88;0.52;5.68;3.69;290.16;I kw. 
2018-01-01 14:00;2.13;1.21;0.73;5.62;3.95;292.58;I kw. 
2018-01-01 15:00;2.23;1.46;0.89;5.54;4.2;279.84;I kw. 
2018-01-01 16:00;2.26;1.42;0.87;6.09;4.54;284.78;I kw. 
2018-01-01 17:00;2.38;1.37;0.8;6.04;4.41;286.99;I kw. 
2018-01-01 18:00;1.94;1.19;0.7;6.26;4.33;286.25;I kw. 
2018-01-01 19:00;1.59;1.08;0.63;6.6;4.34;287.77;I kw. 
2018-01-01 20:00;1.44;1.01;0.58;6.68;4.33;295.03;I kw. 
2018-01-01 21:00;1.6;1.12;0.66;6.73;4.69;294.32;I kw. 
2018-01-01 22:00;1.63;1.05;0.64;6.99;4.93;296.12;I kw. 
2018-01-01 23:00;1.78;1.1;0.64;6.65;4.64;297.72;I kw. 
2018-01-02 00:00;1.88;1.1;0.68;6.39;4.79;296.86;I kw. 
2018-01-02 01:00;1.54;1.07;0.63;5.86;4.6;286.81;I kw. 
2018-01-02 02:00;1.41;1.01;0.61;6.49;4.57;294.92;I kw. 
2018-01-02 03:00;1.42;1.01;0.63;6.15;4.84;290.2;I kw. 
2018-01-02 04:00;1.48;0.96;0.58;6.18;4.71;290.77;I kw. 
2018-01-02 05:00;1.26;0.88;0.53;6.12;4.49;294.98;I kw. 
2018-01-02 06:00;1.3;0.83;0.49;5.59;4.39;291.31;I kw. 
2018-01-02 07:00;1.22;0.77;0.45;5.59;4.26;290.27;I kw. 
2018-01-02 08:00;1.08;0.7;0.44;5.78;4.62;287.95;I kw. 
2018-01-02 09:00;0.97;0.66;0.38;5.86;3.96;288.43;I kw. 
2018-01-02 10:00;1.01;0.7;0.42;5.93;4.14;290.87;I kw. 
2018-01-02 11:00;1.08;0.67;0.4;5.28;4.12;291.09;I kw. 
2018-01-02 12:00;1.08;0.63;0.37;5.2;4;289.73;I kw. 
2018-01-02 13:00;0.88;0.57;0.35;5.21;4.28;286.66;I kw. 
2018-01-02 14:00;0.9;0.58;0.35;5.04;4.28;283.96;I kw. 
2018-01-02 15:00;0.91;0.58;0.34;5.18;4.11;288.18;I kw. 
2018-01-02 16:00;0.88;0.54;0.34;4.5;4.09;285.43;I kw. 
2018-01-02 17:00;0.77;0.5;0.29;4.83;3.71;292.23;I kw. 
2018-01-02 18:00;0.8;0.52;0.3;4.79;3.49;287.88;I kw. 
2018-01-02 19:00;0.97;0.53;0.31;4.56;3.33;287.53;I kw. 
2018-01-02 20:00;0.79;0.52;0.3;4.71;3.26;290.98;I kw. 
2018-01-02 21:00;0.84;0.57;0.33;4.73;3.35;294.22;I kw. 
2018-01-02 22:00;0.99;0.6;0.35;4.37;3.37;289.12;I kw. 
2018-01-02 23:00;0.79;0.55;0.31;4.51;3.23;289;I kw. 
2018-01-03 00:00;0.83;0.54;0.31;4.54;3.39;284.26;I kw. 
