Date;Humidity;WindSpd;WindSpdMin;WindSpdMax;WindDir;AirTem;AirPres Vaisala;Okres
2018-01-01 00:00;100;6.48;5.23;8.98;215.8;8.26;996.01;I kw. 
2018-01-01 01:00;100;4.34;3.22;5.77;223.4;8.00;995.62;I kw. 
2018-01-01 02:00;100;6.18;4.63;8.29;205.9;8.46;995.27;I kw. 
2018-01-01 03:00;100;7.30;5.28;9.79;205.2;8.59;994.92;I kw. 
2018-01-01 04:00;100;8.15;5.92;10.34;209.3;8.71;994.40;I kw. 
2018-01-01 05:00;97;8.42;5.99;11.45;208.1;8.81;994.09;I kw. 
2018-01-01 06:00;94;9.01;6.97;11.97;215.5;8.90;993.73;I kw. 
2018-01-01 07:00;92;9.95;7.39;13.49;225.9;8.88;994.59;I kw. 
2018-01-01 08:00;92;10.26;7.50;13.38;245.1;8.30;995.16;I kw. 
2018-01-01 09:00;89;10.59;6.59;14.45;237.4;8.10;996.06;I kw. 
2018-01-01 10:00;90;9.96;7.21;12.80;234.9;7.80;996.50;I kw. 
2018-01-01 11:00;86;8.73;5.87;10.99;232.5;8.42;996.60;I kw. 
2018-01-01 12:00;84;7.56;5.54;10.77;235.9;8.50;996.64;I kw. 
2018-01-01 13:00;82;9.05;6.25;12.19;234.8;7.80;996.98;I kw. 
2018-01-01 14:00;80;13.92;9.20;18.90;245.5;7.48;997.12;I kw. 
2018-01-01 15:00;79;11.39;7.69;16.72;235.5;6.99;997.71;I kw. 
2018-01-01 16:00;82;10.43;6.61;14.50;237.7;6.50;998.51;I kw. 
2018-01-01 17:00;81;8.79;6.10;12.74;232.2;6.20;999.08;I kw. 
2018-01-01 18:00;80;8.43;5.71;11.49;221.3;5.90;999.44;I kw. 
2018-01-01 19:00;82;8.52;5.74;12.34;212.7;5.44;999.71;I kw. 
2018-01-01 20:00;87;7.52;5.31;10.68;208.6;4.80;999.84;I kw. 
2018-01-01 21:00;84;8.42;6.22;11.51;212.3;4.80;1000.27;I kw. 
2018-01-01 22:00;84;7.57;5.30;9.80;212.2;4.80;1000.67;I kw. 
2018-01-01 23:00;84;8.59;6.16;11.25;221.4;4.90;1000.68;I kw. 
2018-01-02 00:00;85;7.29;5.29;9.88;211.0;4.70;1000.81;I kw. 
2018-01-02 01:00;86;7.36;5.05;9.82;211.5;4.58;1001.46;I kw. 
2018-01-02 02:00;87;6.62;4.75;10.34;207.3;4.30;1001.86;I kw. 
2018-01-02 03:00;88;6.07;4.26;8.08;207.8;4.01;1002.02;I kw. 
2018-01-02 04:00;87;5.12;3.42;7.00;194.4;4.16;1002.06;I kw. 
2018-01-02 05:00;88;4.16;2.68;5.47;193.4;3.78;1002.11;I kw. 
2018-01-02 06:00;90;5.06;3.01;6.20;173.4;3.19;1002.54;I kw. 
2018-01-02 07:00;92;5.50;4.12;6.80;166.2;2.90;1003.04;I kw. 
2018-01-02 08:00;92;2.88;1.95;4.07;188.7;2.99;1003.64;I kw. 
2018-01-02 09:00;86;7.68;5.71;9.30;206.1;4.09;1004.62;I kw. 
2018-01-02 10:00;92;5.28;3.67;7.49;200.5;3.95;1004.67;I kw. 
2018-01-02 11:00;88;5.97;3.90;7.69;215.0;5.09;1004.99;I kw. 
2018-01-02 12:00;90;3.36;2.28;5.22;208.7;4.70;1004.74;I kw. 
2018-01-02 13:00;93;2.36;1.12;3.49;216.4;4.60;1004.63;I kw. 
2018-01-02 14:00;95;2.19;1.01;3.58;220.9;4.50;1004.95;I kw. 
2018-01-02 15:00;95;3.08;1.51;4.37;205.8;4.40;1005.64;I kw. 
2018-01-02 16:00;96;2.84;1.38;4.01;206.4;4.10;1006.12;I kw. 
2018-01-02 17:00;97;5.06;2.94;6.29;222.0;4.20;1006.36;I kw. 
2018-01-02 18:00;98;5.15;3.62;6.75;214.7;4.10;1006.44;I kw. 
2018-01-02 19:00;99;5.12;3.08;6.66;217.6;4.20;1006.46;I kw. 
2018-01-02 20:00;100;5.21;2.95;6.70;216.2;4.20;1006.64;I kw. 
2018-01-02 21:00;100;5.25;3.80;7.38;231.6;4.50;1006.56;I kw. 
2018-01-02 22:00;100;5.66;3.20;6.93;234.7;4.60;1006.60;I kw. 
2018-01-02 23:00;98;5.24;3.63;6.80;215.1;4.60;1006.47;I kw. 
2018-01-03 00:00;98;4.33;2.61;6.09;202.6;4.30;1005.82;I kw. 
2018-01-03 01:00;97;4.30;2.88;6.20;203.6;4.30;1005.24;I kw. 
2018-01-03 02:00;95;3.38;2.35;5.10;197.5;4.10;1004.44;I kw. 
2018-01-03 03:00;96;4.35;2.96;6.47;181.6;3.90;1003.21;I kw. 
2018-01-03 04:00;97;5.77;3.82;6.90;165.4;3.50;1001.68;I kw. 
2018-01-03 05:00;97;6.43;4.18;8.43;153.0;3.10;1000.45;I kw. 
2018-01-03 06:00;96;6.09;4.23;8.73;171.8;2.77;999.40;I kw. 
2018-01-03 07:00;96;5.18;3.62;6.76;141.9;2.40;997.20;I kw. 
2018-01-03 08:00;94;6.44;4.40;8.53;142.4;3.00;995.72;I kw. 
2018-01-03 09:00;85;9.51;7.51;13.19;155.2;4.10;994.14;I kw. 
2018-01-03 10:00;84;9.99;6.75;12.66;149.7;4.10;991.85;I kw. 
2018-01-03 11:00;80;10.16;7.74;15.74;151.2;4.46;990.29;I kw. 
2018-01-03 12:00;79;10.10;6.57;13.85;140.7;4.70;988.43;I kw. 
2018-01-03 13:00;80;9.38;7.20;12.83;138.0;4.60;987.37;I kw. 
2018-01-03 14:00;88;9.12;6.84;12.70;144.3;3.90;986.82;I kw. 
2018-01-03 15:00;94;9.94;7.73;12.58;144.3;3.18;986.24;I kw. 
2018-01-03 16:00;95;8.83;6.75;12.52;153.8;2.89;986.33;I kw. 
2018-01-03 17:00;95;8.65;6.71;11.56;161.0;2.56;986.12;I kw. 
2018-01-03 18:00;94;8.51;6.48;11.31;169.5;2.69;986.03;I kw. 
2018-01-03 19:00;95;7.38;5.26;8.73;170.4;2.50;985.67;I kw. 
2018-01-03 20:00;97;4.99;3.31;7.74;179.1;2.97;985.37;I kw. 
2018-01-03 21:00;97;4.42;2.73;5.25;169.4;3.18;985.12;I kw. 
2018-01-03 22:00;97;7.03;5.14;8.54;168.7;3.30;985.09;I kw. 
2018-01-03 23:00;95;6.52;4.68;7.62;158.1;3.90;984.67;I kw. 
2018-01-04 00:00;96;6.36;5.02;8.08;163.9;4.10;984.14;I kw. 
2018-01-04 01:00;97;6.77;5.48;8.82;164.6;4.40;983.94;I kw. 
2018-01-04 02:00;97;5.54;4.17;7.51;166.8;4.50;983.84;I kw. 
2018-01-04 03:00;96;4.86;3.63;6.21;171.8;4.30;983.71;I kw. 
2018-01-04 04:00;97;5.12;3.23;6.51;198.1;4.13;983.81;I kw. 
2018-01-04 05:00;97;5.61;3.59;7.82;199.1;4.30;984.16;I kw. 
2018-01-04 06:00;97;5.99;4.22;8.63;203.7;4.40;984.50;I kw. 
2018-01-04 07:00;98;8.56;5.91;10.75;213.2;4.30;984.90;I kw. 
2018-01-04 08:00;100;8.57;6.28;11.43;226.0;4.56;985.63;I kw. 
2018-01-04 09:00;100;10.57;6.76;13.81;245.8;4.90;986.41;I kw. 
2018-01-04 10:00;99;10.52;6.88;14.30;237.7;4.99;987.28;I kw. 
2018-01-04 11:00;100;11.20;7.64;15.22;237.0;4.50;988.13;I kw. 
2018-01-04 12:00;99;11.85;7.83;16.52;241.7;4.30;988.80;I kw. 
2018-01-04 13:00;97;11.89;8.27;15.84;240.5;4.30;989.35;I kw. 
2018-01-04 14:00;95;10.04;7.19;13.87;240.6;4.40;990.08;I kw. 
2018-01-04 15:00;95;9.01;6.36;12.69;239.4;4.48;990.83;I kw. 
2018-01-04 16:00;97;9.18;6.26;11.74;233.1;4.10;991.42;I kw. 
2018-01-04 17:00;96;8.06;5.60;10.18;216.8;3.70;991.82;I kw. 
2018-01-04 18:00;95;6.39;4.20;9.44;215.9;3.90;991.91;I kw. 
2018-01-04 19:00;92;6.67;5.24;8.76;205.5;3.90;991.95;I kw. 
2018-01-04 20:00;94;5.42;3.66;7.40;202.3;3.97;992.26;I kw. 
2018-01-04 21:00;97;3.94;2.65;6.12;183.4;4.10;992.03;I kw. 
2018-01-04 22:00;98;4.17;2.73;5.69;184.3;4.33;991.68;I kw. 
2018-01-04 23:00;99;4.94;3.22;7.43;176.1;4.60;991.26;I kw. 
2018-01-05 00:00;94;5.68;3.81;8.33;176.0;5.50;990.85;I kw. 
2018-01-05 01:00;94;5.07;3.47;6.69;173.9;5.20;990.24;I kw. 
2018-01-05 02:00;94;5.92;4.16;7.36;168.1;5.18;989.77;I kw. 
2018-01-05 03:00;93;5.98;4.62;7.83;168.1;5.08;988.84;I kw. 
2018-01-05 04:00;95;7.04;4.71;9.48;172.7;4.80;988.67;I kw. 
2018-01-05 05:00;95;6.40;4.51;7.80;162.9;4.48;987.67;I kw. 
2018-01-05 06:00;99;5.78;4.01;7.76;173.3;4.30;987.10;I kw. 
2018-01-05 07:00;97;9.86;5.22;12.17;219.0;5.10;987.58;I kw. 
2018-01-05 08:00;99;9.10;6.66;13.26;229.3;4.97;987.94;I kw. 
